연도,전체,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2005-01-01,26460,3501,1538,1514,1521,697,664,566,0,6307,1298,789,1407,1049,1382,2278,1656,293
2006-01-01,29990,3914,1737,1739,1436,902,749,774,0,7267,1301,987,1562,1187,1548,2520,2002,365
2007-01-01,28416,3853,1298,1582,1330,849,725,726,0,6939,1268,1001,1630,1152,1475,2381,1853,354
2008-01-01,26873,3481,1141,1409,1360,848,736,765,0,6393,1256,991,1646,1086,1469,2283,1696,313
2009-01-01,28207,3529,1271,1470,1352,1172,914,796,0,6236,1401,1027,1688,2297,1839,1283,1585,347
2010-01-01,28641,3910,1169,1510,1439,1167,792,744,0,7163,1310,986,1783,1177,1462,2090,1590,349
2011-01-01,28461,3700,1155,1417,1562,1104,849,839,0,7120,1265,1260,1760,1083,1354,2157,1486,350
2012-01-01,29093,3819,1226,1395,1499,1207,930,900,0,7180,1234,1233,1832,1193,1344,2051,1592,458
2013-01-01,26589,3550,1166,1281,1331,1058,931,871,78,6543,1066,1162,1529,1003,1325,1710,1569,416
2014-01-01,24043,3361,996,1219,1180,913,715,874,81,5765,909,1035,1411,882,1156,1664,1431,415
2015-01-01,24399,3453,1024,1134,1185,874,736,807,98,6032,959,1081,1461,920,1176,1596,1397,466
2016-01-01,19769,2874,789,938,1049,764,665,603,93,4961,708,851,1203,753,904,1268,981,365
2017-01-01,19517,2864,709,890,1000,688,556,523,89,5020,777,903,1369,772,905,1207,926,319
2018-01-01,19381,2856,743,890,938,675,594,567,98,5090,679,882,1308,683,908,1190,958,322
2019-01-01,15708,2190,636,702,770,549,472,373,89,4140,492,678,1019,579,793,1060,870,296
2020-01-01,17247,2327,742,765,879,609,519,433,72,4495,619,734,1108,617,871,1072,1023,362
2021-01-01,14894,2059,637,658,771,537,420,348,72,4003,521,646,915,523,678,899,883,324
