날짜,사고,사망,부상
2010-01-01,2260,63,4186
2010-02-01,2035,60,3701
2010-03-01,2229,64,3948
2010-04-01,2328,66,4233
2010-05-01,2535,65,4515
2010-06-01,2194,68,3782
2010-07-01,2293,56,4111
2010-08-01,2337,56,4257
2010-09-01,2511,71,4482
2010-10-01,2724,76,4832
2010-11-01,2627,72,4700
2010-12-01,2568,64,4617
2011-01-01,2221,52,4096
2011-02-01,1964,49,3645
2011-03-01,2166,41,3786
2011-04-01,2545,65,4475
2011-05-01,2367,64,4231
2011-06-01,2309,60,4092
2011-07-01,2589,74,4624
2011-08-01,2208,60,4034
2011-09-01,2164,68,3896
2011-10-01,2703,71,4771
2011-11-01,2665,69,4838
2011-12-01,2560,60,4647
2012-01-01,2062,64,3812
2012-02-01,2245,65,4086
2012-03-01,2640,73,4721
2012-04-01,2708,89,4714
2012-05-01,2380,69,4326
2012-06-01,2274,79,4002
2012-07-01,2378,57,4151
2012-08-01,2341,51,4217
2012-09-01,2435,66,4466
2012-10-01,2409,60,4403
2012-11-01,2727,70,4810
2012-12-01,2494,72,4637
2013-01-01,2175,50,4024
2013-02-01,1951,49,3531
2013-03-01,2401,71,4183
2013-04-01,2480,73,4507
2013-05-01,2462,61,4412
2013-06-01,2194,60,3903
2013-07-01,2180,68,3826
2013-08-01,1941,59,3470
2013-09-01,2106,50,3765
2013-10-01,2308,59,4157
2013-11-01,2262,62,4008
2013-12-01,2129,65,3925
2014-01-01,1724,42,3104
2014-02-01,1669,48,2986
2014-03-01,2215,63,3944
2014-04-01,1905,44,3362
2014-05-01,2031,48,3593
2014-06-01,1940,58,3437
2014-07-01,2097,52,3721
2014-08-01,2207,44,3987
2014-09-01,2036,56,3552
2014-10-01,2124,52,3717
2014-11-01,2104,44,3754
2014-12-01,1991,41,3615
2015-01-01,2027,50,3582
2015-02-01,1751,56,3150
2015-03-01,1914,56,3306
2015-04-01,2129,49,3707
2015-05-01,2032,52,3617
2015-06-01,2098,66,3598
2015-07-01,2142,43,3799
2015-08-01,1954,52,3496
2015-09-01,1971,34,3439
2015-10-01,2045,44,3521
2015-11-01,2318,40,4020
2015-12-01,2018,41,3645
2016-01-01,1746,46,3131
2016-02-01,1656,27,2957
2016-03-01,1751,46,3072
2016-04-01,1902,38,3234
2016-05-01,1657,31,2884
2016-06-01,1335,34,2207
2016-07-01,1452,32,2443
2016-08-01,1396,44,2379
2016-09-01,1489,40,2726
2016-10-01,1801,54,3173
2016-11-01,1762,51,3082
2016-12-01,1822,38,3135
2017-01-01,1647,37,2979
2017-02-01,1401,24,2477
2017-03-01,1556,57,2624
2017-04-01,1602,39,2687
2017-05-01,1536,37,2521
2017-06-01,1489,34,2482
2017-07-01,1640,44,2787
2017-08-01,1657,29,2845
2017-09-01,1642,46,2622
2017-10-01,1717,34,2999
2017-11-01,1745,28,3013
2017-12-01,1885,30,3328
2018-01-01,1654,27,2896
2018-02-01,1649,36,2882
2018-03-01,1665,30,2900
2018-04-01,1827,30,3038
2018-05-01,1701,29,2827
2018-06-01,1527,21,2534
2018-07-01,1652,28,2844
2018-08-01,1612,35,2764
2018-09-01,1676,32,2872
2018-10-01,1669,33,2771
2018-11-01,1382,20,2343
2018-12-01,1367,25,2281
2019-01-01,1070,20,1796
2019-02-01,971,24,1710
2019-03-01,1255,30,2104
2019-04-01,1369,22,2261
2019-05-01,1358,25,2207
2019-06-01,1262,27,2015
2019-07-01,1070,20,1730
2019-08,1304,27,2073
2019-09,1447,19,2409
2019-10-01,1496,31,2507
2019-11-01,1531,27,2534
2019-12-01,1575,23,2615
2020-01-01,1235,23,2004
2020-02-01,1394,24,2269
2020-03-01,1478,32,2375
2020-04-01,1465,20,2385
2020-05-01,1489,27,2495
2020-06-01,1424,25,2355
2020-07-01,1642,22,2702
2020-08-01,1568,35,2578
2020-09-01,1449,20,2263
2020-10-01,1446,24,2432
2020-11-01,1405,24,2243
2020-12-01,1252,11,1962
2021-01-01,1261,25,1963
2021-02-01,1171,18,1859
2021-03-01,1235,11,1977
2021-04-01,1209,13,1976
2021-05-01,1251,17,1934
2021-06-01,1188,23,1873
2021-07-01,1269,22,2014
2021-08-01,1197,12,1867
2021-09-01,1150,14,1826
2021-10-01,1367,21,2211
2021-11-01,1344,15,2175
2021-12-01,1252,15,1978
2022-01-01,1234,16,2069
2022-02-01,1000,16,1572
2022-03-01,1093,15,1664
2022-04-01,1289,20,2100
2022-05-01,1240,21,1987
2022-06-01,1279,20,2042
2022-07-01,1294,18,2074
2022-08-01,1221,17,1960
2022-09-01,1303,13,2167
2022-10-01,1320,22,2148
2022-11-01,1244,21,1917
2022-12-01,1542,15,2561
2023-01-01,1232,11,2055
2023-02-01,1004,17,1664
2023-03-01,1077,11,1651
2023-04-01,1041,13,1621
2023-05-01,996,9,1587
2023-06-01,1000,14,1530
2023-07-01,1172,16,1818
2023-08-01,1055,15,1620
2023-09-01,1163,7,1802
2023-10-01,1002,13,1605
2023-11-01,1069,18,1688
2023-12-01,1231,15,1987
