연도,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전북특별자치도,전라남도,경상북도,경상남도,제주특별자치도
2010-01-01,10312545,3567910,2511676,2758296,1454636,1503664,1126298,-,11786622,1529818,1549528,2075514,1868963,1918485,2689920,3290536,571255
2011-01-01,10249679,3550963,2507271,2801274,1463464,1515603,1135494,-,11937415,1536448,1562903,2101284,1874031,1914339,2699195,3308765,576156
2012-01-01,10195318,3538484,2505644,2843981,1469216,1524583,1147256,113117,12093299,1538630,1565628,2028777,1873341,1909618,2698353,3319314,583713
2013-01-01,10143645,3527635,2501588,2879782,1472910,1532811,1156480,122153,12234630,1542263,1572732,2047631,1872965,1907172,2699440,3333820,593806
2014-01-01,10103233,3519401,2493264,2902608,1475884,1531809,1166377,156125,12357830,1544442,1578933,2062273,1871560,1905780,2700794,3350257,607346
2015-01-01,10022181,3513777,2487829,2925815,1472199,1518775,1173534,210884,12522606,1549507,1583952,2077649,1869711,1908996,2702826,3364702,624395
2016-01-01,9930616,3498529,2484557,2943069,1469214,1514370,1172304,243048,12716780,1550806,1591625,2096727,1864791,1903914,2700398,3373871,641597
2017-01-01,9857426,3470653,2475231,2948542,1463770,1502227,1165132,280100,12873895,1550142,1594432,2116770,1854607,1896424,2691706,3380404,657083
2018-01-01,9765623,3441453,2461769,2954642,1459336,1489936,1155623,314126,13077153,1543052,1599252,2126282,1836832,1882970,2676831,3373988,667191
2019-01-01,9729107,3413841,2438031,2957026,1456468,1474870,1148019,340575,13239666,1541502,1600007,2123709,1818917,1868745,2665836,3362553,670989
2020-01-01,9668465,3391946,2418346,2942828,1450062,1463882,1136017,355831,13427014,1542840,1600837,2121029,1804104,1851549,2639422,3340216,674635
2021-01-01,9509458,3350380,2385412,2948375,1441611,1452251,1121592,371895,13565450,1538492,1597427,2119257,1786855,1832803,2626609,3314183,676759
2022-01-01,9428372,3317812,2363691,2967314,1431050,1446072,1110663,383591,13589432,1536498,1595058,2123037,1769607,1817697,2600492,3280493,678159
2023-01-01,9386034,3293362,2374960,2997410,1419237,1442216,1103661,386525,13630821,1527807,1593469,2130119,1754757,1804217,2554324,3251158,675252
